,loc_id,latitude,longitude,subnational1_code,entry_technique,sub_id,obs_id,Month,Day,Year,species_code,how_many,valid,reviewed,day1_am,day1_pm,day2_am,day2_pm,effort_hrs_atleast,snow_dep_atleast,Data_Entry_Method,Date_Combined
1237629,'L1396612','35.7177048','-78.780365','US-NC','ESRI_WEBSERVICE_STREET','S86242504','OBS1131719439','4','24','2021','eastow',"(0, 10]",'1','0','0','1','1','1',1.001,0.0,'PFW Mobile App v1.1.17',4-24-2021
2253112,'L10144838','41.1301049','-81.5519939','US-OH','/GOOGLE_MAP/ZOOM:15','S76229552','OBS1011728636','11','14','2020','whbnut',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Mobile App v1.1.14',11-14-2020
516327,'L12885538','38.0171184','-87.5814242','US-IN','/GOOGLE_MAP/ZOOM:15','S79089295','OBS1049577977','1','10','2021','carchi',"(0, 10]",'1','0','0','1','1','0',1.001,0.0,'PFW Web 4.1.4',1-10-2021
556572,'L8882713','42.2547218','-70.8283237','US-MA','/GOOGLE_MAP/ZOOM:14','S82707222','OBS1086862464','2','22','2021','whbnut',"(0, 10]",'1','0','1','1','1','1',1.001,5.0,'PFW Web 4.1.4',2-22-2021
1583686,'L4051889','47.4027137','-122.1794057','US-WA','/GOOGLE_MAP/ZOOM:18','S76960964','OBS1021504501','11','30','2020','annhum',"(0, 10]",'1','0','1','1','1','1',4.001,0.0,'PFW Web 4.1.4',11-30-2020
1810204,'L6539565','39.160772','-86.5882784','US-IN','/GOOGLE_MAP/ZOOM:18','S79193141','OBS1050915177','1','11','2021','daejun',"(0, 10]",'1','0','1','0','1','0',1.001,0.0,'PFW Web 4.1.4',1-11-2021
1145516,'L1030973','35.1479607','-80.7937164','US-NC','ESRI_WEBSERVICE_STREET','S82172004','OBS1080624521','2','19','2021','eastow',"(0, 10]",'1','0','1','0','1','0',1.001,0.0,'PFW Web 4.1.4',2-19-2021
1922888,'L8159766','43.3058843','-91.779273','US-IA','/GOOGLE_MAP/ZOOM:15','S77121414','OBS1023768337','12','4','2020','houfin',"(10, 20]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',12-4-2020
1852532,'L12709226','40.8300127','-73.3664354','US-NY','/GOOGLE_MAP/ZOOM:15','S80259883','OBS1063917681','1','30','2021','rebwoo',"(0, 10]",'1','0','0','1','1','1',1.001,0.0,'PFW Web 4.1.4',1-30-2021
2102767,'L8182864','41.6323972','-86.1810963','US-IN','/GOOGLE_MAP/ZOOM:15','S82937116','OBS1089521527','1','16','2021','norcar',"(0, 10]",'1','0','1','0','1','0',1.001,0.001,'PFW Web 4.1.4',1-16-2021
2381300,'L14031091','39.5999275','-104.9179228','US-CO','/GOOGLE_MAP/ZOOM:15','S86150980','OBS1129303622','4','21','2021','comgra',"(0, 10]",'1','0','1','1','1','1',1.001,,'PFW Web 4.1.4',4-21-2021
1553137,'L14078363','42.529704','-77.1513887','US-NY','/GOOGLE_MAP/ZOOM:15','S85080221','OBS1115382647','4','8','2021','tuftit',"(0, 10]",'1','0','1','0','0','1',1.001,0.0,'PFW Mobile App v1.1.17',4-8-2021
979634,'L616867','40.2906523','-74.4337839','US-NJ','ESRI_WEBSERVICE_STREET','S77258144','OBS1025714161','12','5','2020','houspa',"(0, 10]",'1','0','1','1','1','1',1.001,,'PFW Web 4.1.4',12-5-2020
1789267,'L12715583','38.2831434','-122.0291091','US-CA','/GOOGLE_MAP/ZOOM:18','S77923276','OBS1035093072','12','24','2020','pinsis',"(0, 10]",'1','0','1','0','0','1',0.001,,'PFW Mobile App v1.1.17',12-24-2020
1201719,'L4041976','37.110925','-76.424379','US-VA','/GOOGLE_MAP/ZOOM:15','S81671496','OBS1075453849','2','6','2021','rebnut',"(0, 10]",'1','0','1','1','1','1',8.001,0.0,'PFW Web 4.1.4',2-6-2021
2047768,'L2409766','42.2047599','-88.0464224','US-IL','/GOOGLE_MAP/ZOOM:15','S80816548','OBS1070318342','2','10','2021','dowwoo',"(0, 10]",'1','0','0','0','1','1',0.001,15.001,'PFW Mobile App v1.1.17',2-10-2021
1997308,'L8164980','43.0861715','-83.5032016','US-MI','/GOOGLE_MAP/ZOOM:18','S80289069','OBS1064214994','1','31','2021','houspa',"(30, 40]",'1','0','0','1','1','1',1.001,5.0,'PFW Web 4.1.4',1-31-2021
323258,'L1810216','46.4059068','-63.2693195','CA-PE','nan','S82279448','OBS1081878276','1','31','2021','blujay',"(0, 10]",'1','0','0','1','0','1',1.001,5.0,'PFW Web 4.1.4',1-31-2021
1683180,'L8105752','30.0820299','-95.7144964','US-TX','/GOOGLE_MAP/ZOOM:18','S86663335','OBS1136013603','12','21','2020','amegfi',"(0, 10]",'1','0','1','1','1','0',1.001,0.0,'PFW Web 4.1.4',12-21-2020
273548,'L76812','45.385','-75.7567','CA-ON',"'otherpub top map 1:50,00'",'S81838207','OBS1077007310','2','16','2021','dowwoo',"(0, 10]",'1','0','1','1','1','1',1.001,15.001,'PFW Web 4.1.4',2-16-2021
1938837,'L8138097','44.4434741','-68.492707','US-ME','nan','S83463521','OBS1095619467','3','6','2021','norcar',"(0, 10]",'1','0','1','1','1','1',0.001,0.0,'PFW Web 4.1.4',3-6-2021
2042587,'L8159876','39.5181949','-84.7509498','US-OH','/GOOGLE_MAP/ZOOM:15','S82073243','OBS1080320336','2','1','2021','carwre',"(0, 10]",'1','0','1','1','1','1',1.001,0.001,'PFW Web 4.1.4',2-1-2021
623705,'L5185107','42.0307935','-72.4115335','US-CT','/GOOGLE_MAP/ZOOM:15','S79131625','OBS1050139282','12','14','2020','dowwoo',"(0, 10]",'1','0','1','0','1','0',1.001,0.001,'PFW Web 4.1.4',12-14-2020
2756924,'L13855049','40.8500024','-74.1491976','US-NJ','/GOOGLE_MAP/ZOOM:15','S83723226','OBS1098802209','3','20','2021','houspa',"(10, 20]",'1','0','1','0','0','0',0.001,0.0,'PFW Mobile App v1.1.17',3-20-2021
1121455,'L818527','33.8501738','-84.7919655','US-GA','ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:1','S83615464','OBS1097488067','2','8','2021','moudov',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',2-8-2021
983186,'L3152161','41.1867771','-73.9010103','US-NY','/GOOGLE_MAP/ZOOM:12','S82973463','OBS1089907827','3','6','2021','moudov',"(0, 10]",'1','0','1','0','1','0',1.001,0.0,'PFW Web 4.1.4',3-6-2021
893574,'L279772','46.4570179','-93.0565166','US-MN','GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:4','S89134766','OBS1169303316','12','12','2020','comred',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',12-12-2020
1245472,'L1313668','41.8455315','-72.2635651','US-CT','ESRI_WEBSERVICE_STREET','S77783522','OBS1033119782','12','19','2020','tuftit',"(0, 10]",'1','0','1','1','1','1',1.001,5.0,'PFW Web 4.1.4',12-19-2020
1827092,'L5120772','39.6609782','-104.9932694','US-CO','/GOOGLE_MAP/ZOOM:18','S76549770','OBS1015808782','11','20','2020','bkcchi',"(0, 10]",'1','0','1','1','1','0',4.001,0.0,'PFW Web 4.1.4',11-20-2020
497432,'L24814','40.30418','-76.59034','US-PA','POSTCODE LAT/LONG LOOKUP','S79628013','OBS1056287130','1','19','2021','houfin',"(10, 20]",'1','0','1','1','1','0',1.001,0.0,'PFW Web 4.1.4',1-19-2021
1146191,'L5587020','42.4263751','-76.4497638','US-NY','/GOOGLE_MAP/ZOOM:15','S80060373','OBS1061580982','1','27','2021','moudov',"(10, 20]",'1','0','1','1','1','1',8.001,5.0,'PFW Mobile App v1.1.17',1-27-2021
977372,'L470347','37.4464735','-122.1244794','US-CA','ESRI_WEBSERVICE_STREET','S76475147','OBS1014799414','11','20','2020','towwar',"(0, 10]",'1','0','0','1','1','0',4.001,0.0,'PFW Web 4.1.4',11-20-2020
1553900,'L12737078','47.4102581','-122.9330206','US-WA','/GOOGLE_MAP/ZOOM:15','S83801197','OBS1099748147','3','21','2021','pinsis',"(90, 100]",'0','0','1','1','1','0',1.001,0.0,'PFW Mobile App v1.1.17',3-21-2021
2603760,'L12875282','39.9632832','-78.9874508','US-PA','/GOOGLE_MAP/ZOOM:15','S77682841','OBS1031638345','12','17','2020','moudov',"(0, 10]",'1','0','1','0','0','1',0.001,15.001,'PFW Web 4.1.4',12-17-2020
469501,'L82726','39.8964','-77.38424','US-PA','postal_code','S81995939','OBS1078701661','2','19','2021','amecro',"(0, 10]",'1','0','1','1','1','1',4.001,5.0,'PFW Web 4.1.4',2-19-2021
71797,'L13371751','45.3689933','-75.9521097','CA-ON','/GOOGLE_MAP/ZOOM:15','S82496176','OBS1084443803','2','28','2021','dowwoo',"(0, 10]",'1','0','1','1','0','1',1.001,15.001,'PFW Mobile App v1.1.17',2-28-2021
1019843,'L810029','41.1351224','-74.6791524','US-NJ','ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:2','S84025125','OBS1102464079','3','17','2021','moudov',"(0, 10]",'1','0','1','1','1','1',8.001,5.0,'PFW Web 4.1.4',3-17-2021
91384,'L5091589','44.4139651','-78.8082576','CA-ON','/GOOGLE_MAP/ZOOM:16','S78497766','OBS1042300683','12','31','2020','eursta',"(0, 10]",'1','0','1','1','1','1',1.001,5.0,'PFW Web 4.1.4',12-31-2020
1123025,'L810809','39.4322155','-74.9855089','US-NJ','ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:2','S78834934','OBS1046457661','12','28','2020','tuftit',"(0, 10]",'1','0','1','1','1','1',1.001,,'PFW Web 4.1.4',12-28-2020
2718596,'L12964962','33.7935423','-111.9176101','US-AZ','/GOOGLE_MAP/ZOOM:15','S80069292','OBS1062336627','1','29','2021','normoc',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Mobile App v1.1.17',1-29-2021
1951690,'L6602914','42.070555','-87.8019303','US-IL','/GOOGLE_MAP/ZOOM:15','S82111122','OBS1079907098','12','13','2020','houfin',"(0, 10]",'1','0','1','1','0','1',4.001,0.0,'PFW Web 4.1.4',12-13-2020
88644,'L10130591','46.2215708','-79.3622142','CA-ON','/GOOGLE_MAP/ZOOM:18','S81861471','OBS1077440750','2','18','2021','haiwoo',"(0, 10]",'1','0','1','1','1','1',0.001,15.001,'PFW Mobile App v1.1.17',2-18-2021
439779,'L12730137','42.7067774','-71.058165','US-MA','/GOOGLE_MAP/ZOOM:15','S78067748','OBS1037043669','12','26','2020','bkcchi',"(0, 10]",'1','0','0','0','1','0',1.001,0.0,'PFW Mobile App v1.1.17',12-26-2020
2515337,'L12745853','40.9502788','-74.8100263','US-NJ','/GOOGLE_MAP/ZOOM:15','S77352246','OBS1027035821','12','10','2020','whbnut',"(0, 10]",'1','0','1','0','0','1',1.001,0.001,'PFW Mobile App v1.1.17',12-10-2020
1866412,'L29656','40.73895','-73.49097','US-NY','POSTCODE LAT/LONG LOOKUP','S81902751','OBS1077671129','2','17','2021','houfin',"(0, 10]",'1','0','0','0','0','1',1.001,5.0,'PFW Web 4.1.4',2-17-2021
106824,'L13939806','42.880888','-79.2573638','CA-ON','/GOOGLE_MAP/ZOOM:15','S83740524','OBS1098988316','3','17','2021','rewbla',"(0, 10]",'1','0','0','1','0','1',1.001,0.0,'PFW Mobile App v1.1.17',3-17-2021
1728321,'L5159197','35.2419389','-80.8022332','US-NC','/GOOGLE_MAP/ZOOM:15','S82242646','OBS1081449412','2','21','2021','moudov',"(0, 10]",'1','0','1','1','1','1',4.001,0.0,'PFW Mobile App v1.1.17',2-21-2021
760996,'L162254','42.6506584','-73.8076758','US-NY','POSTCODE LAT/LONG LOOKUP','S76586125','OBS1016334610','11','14','2020','rocpig1',"(0, 10]",'1','0','1','1','1','1',8.001,,'PFW Web 4.1.4',11-14-2020
1695244,'L4001014','43.3126397','-70.6494537','US-ME','/GOOGLE_MAP/ZOOM:15','S83572264','OBS1096958811','3','13','2021','comgra',"(0, 10]",'1','0','1','1','1','1',1.001,0.001,'PFW Mobile App v1.1.17',3-13-2021
2244042,'L12792594','38.9733827','-77.007438','US-MD','/GOOGLE_MAP/ZOOM:18','S82119313','OBS1079986839','2','13','2021','eursta',"(0, 10]",'1','0','1','1','1','1',1.001,0.001,'PFW Web 4.1.4',2-13-2021
1989066,'L10330165','43.7756229','-71.7127956','US-NH','/GOOGLE_MAP/ZOOM:15','S84597004','OBS1109567234','3','31','2021','eursta',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',3-31-2021
1344927,'L5108061','40.67371','-73.622105','US-NY','/GOOGLE_MAP/ZOOM:15','S81958656','OBS1078262625','2','18','2021','bkcchi',"(0, 10]",'1','0','1','1','1','1',4.001,15.001,'PFW Web 4.1.4',2-18-2021
1093985,'L1030462','36.9938354','-76.3849792','US-VA','ESRI_WEBSERVICE_STREET','S86381919','OBS1132251714','4','24','2021','brnthr',"(0, 10]",'1','0','0','1','1','1',4.001,0.0,'PFW Web 4.1.4',4-24-2021
444840,'L12744921','34.8542564','-87.649778','US-AL','/GOOGLE_MAP/ZOOM:15','S79155056','OBS1050423379','1','11','2021','brnthr',"(0, 10]",'1','0','1','1','1','1',1.001,0.001,'PFW Web 4.1.4',1-11-2021
2706490,'L13132111','32.4944338','-97.7215326','US-TX','/GOOGLE_MAP/ZOOM:18','S79849735','OBS1058892462','1','23','2021','eastow',"(0, 10]",'1','0','0','1','0','1',1.001,0.0,'PFW Web 4.1.4',1-23-2021
2037257,'L12725756','41.107416','-81.5619542','US-OH','/GOOGLE_MAP/ZOOM:15','S79736545','OBS1057593782','1','23','2021','blujay',"(0, 10]",'1','0','1','1','1','1',1.001,0.001,'PFW Mobile App v1.1.17',1-23-2021
2005367,'L7027757','48.7731402','-122.4091852','US-WA','/GOOGLE_MAP/ZOOM:15','S76459413','OBS1014572282','11','15','2020','houfin',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',11-15-2020
499816,'L25293','29.5549868','-95.7527142','US-TX','POSTCODE LAT/LONG LOOKUP','S83912776','OBS1101039568','3','21','2021','rthhum',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',3-21-2021
1091573,'L12942171','33.4497268','-111.4825895','US-AZ','/GOOGLE_MAP/ZOOM:15','S84754671','OBS1111501609','4','1','2021','houspa',"(0, 10]",'1','0','1','1','1','1',4.001,0.0,'PFW Web 4.1.4',4-1-2021
532267,'L10145240','35.407202','-80.325252','US-NC','/GOOGLE_MAP/ZOOM:15','S83442495','OBS1095397341','3','13','2021','bnhcow',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',3-13-2021
1753513,'L5136244','42.4504256','-71.2394875','US-MA','/GOOGLE_MAP/ZOOM:16','S83855435','OBS1100314487','3','20','2021','norcar',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',3-20-2021
1867401,'L13195134','39.0132318','-76.4883828','US-MD','/GOOGLE_MAP/ZOOM:15','S78836717','OBS1046478184','1','7','2021','carchi',"(0, 10]",'1','0','1','1','1','1',0.001,0.0,'PFW Web 4.1.4',1-7-2021
1205403,'L1143437','37.1413002','-80.4225006','US-VA','ESRI_WEBSERVICE_STREET','S79733807','OBS1057576793','1','23','2021','eursta',"(0, 10]",'1','0','1','1','1','1',4.001,0.0,'PFW Mobile App v1.1.17',1-23-2021
1260085,'L1319187','43.7972433','-91.0889339','US-WI','GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:4','S76679460','OBS1017632893','11','23','2020','amegfi',"(0, 10]",'1','0','1','1','1','1',1.001,5.0,'PFW Web 4.1.4',11-23-2020
2657019,'L12720084','37.9420376','-90.7955362','US-MO','/GOOGLE_MAP/ZOOM:15','S76992995','OBS1021960402','12','1','2020','amegfi',"(0, 10]",'1','0','1','1','1','1',4.001,0.0,'PFW Mobile App v1.1.17',12-1-2020
130245,'L8135338','43.2727199','-79.9630942','CA-ON','/GOOGLE_MAP/ZOOM:12','S85940644','OBS1126495260','4','17','2021','eursta',"(0, 10]",'1','0','1','0','0','1',0.001,0.0,'PFW Web 4.1.4',4-17-2021
2728057,'L13036834','42.7816402','-71.0285674','US-MA','/GOOGLE_MAP/ZOOM:15','S80507359','OBS1066883204','2','6','2021','whbnut',"(0, 10]",'1','0','1','0','1','0',1.001,15.001,'PFW Mobile App v1.1.17',2-6-2021
2891189,'L104999','38.2008347','-105.0948974','US-CO','postal_code','S77412701','OBS1027867853','12','12','2020','daejun',"(10, 20]",'1','0','1','1','1','1',1.001,0.001,'PFW Web 4.1.4',12-12-2020
1287353,'L1388411','38.1910395','-83.4437314','US-KY','ESRI_WEBSERVICE_STREET','S85836044','OBS1125142699','4','17','2021','tuftit',"(0, 10]",'1','0','1','0','1','0',1.001,0.0,'PFW Web 4.1.4',4-17-2021
1276474,'L1334997','30.5558395','-98.4021378','US-TX','ESRI_WEBSERVICE_STREET','S85909761','OBS1126119182','4','17','2021','houfin',"(0, 10]",'1','0','1','1','1','1',1.001,,'PFW Web 4.1.4',4-17-2021
1563629,'L3326874','41.4229428','-73.8787705','US-NY','/GOOGLE_MAP/ZOOM:15','S82669960','OBS1086464754','3','1','2021','bkcchi',"(0, 10]",'1','0','1','0','1','0',1.001,,'PFW Web 4.1.4',3-1-2021
404322,'L12725469','43.8697838','-69.5157552','US-ME','/GOOGLE_MAP/ZOOM:17','S86344598','OBS1131801191','4','17','2021','herthr',"(0, 10]",'1','1','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',4-17-2021
423349,'L150951','28.1443996','-82.6772995','US-FL','postal_code','S77172213','OBS1024447368','12','5','2020','doccor',"(0, 10]",'0','0','1','1','1','1',4.001,,'PFW Web 4.1.4',12-5-2020
1697623,'L4072249','35.9259304','-78.9670229','US-NC','/GOOGLE_MAP/ZOOM:15','S77372043','OBS1027359794','12','10','2020','whbnut',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',12-10-2020
1127885,'L813441','40.526432','-105.0911713','US-CO','ESRI_WEBSERVICE_STREET','S82570432','OBS1085275851','2','27','2021','blujay',"(0, 10]",'1','0','1','1','1','1',0.001,0.001,'PFW Web 4.1.4',2-27-2021
2217600,'L10183727','41.9927025','-73.1704473','US-CT','/GOOGLE_MAP/ZOOM:15','S77476917','OBS1028763263','12','14','2020','purfin',"(0, 10]",'1','0','1','0','0','1',0.001,0.001,'PFW Mobile App v1.1.17',12-14-2020
1647920,'L4023733','32.6524342','-81.047196','US-SC','/GOOGLE_MAP/ZOOM:15','S84480939','OBS1108148973','2','20','2021','chispa',"(0, 10]",'1','0','1','1','1','1',4.001,0.0,'PFW Web 4.1.4',2-20-2021
2134809,'L12750559','47.8039624','-122.3781605','US-WA','/GOOGLE_MAP/ZOOM:15','S85163008','OBS1116403095','4','8','2021','pinsis',"(0, 10]",'1','0','1','0','1','0',1.001,0.0,'PFW Web 4.1.4',4-8-2021
2884869,'L2470202','39.7969307','-79.0220404','US-PA','/GOOGLE_MAP/ZOOM:15','S84073794','OBS1103095680','3','23','2021','whbnut',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',3-23-2021
2658349,'L12735637','38.5993985','-78.8929081','US-VA','/GOOGLE_MAP/ZOOM:18','S80289019','OBS1064215016','1','31','2021','bkcchi',"(0, 10]",'1','0','1','0','1','0',0.001,15.001,'PFW Web 4.1.4',1-31-2021
31468,'L4024652','44.6168605','-80.6074619','CA-ON','/GOOGLE_MAP/ZOOM:15','S84334790','OBS1106368409','3','22','2021','eursta',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',3-22-2021
2381443,'L12646702','41.576821','-73.7595377','US-NY','/GOOGLE_MAP/ZOOM:15','S82250394','OBS1081578628','2','24','2021','blujay',"(0, 10]",'1','0','0','0','1','0',1.001,5.0,'PFW Mobile App v1.1.17',2-24-2021
1483687,'L3149107','33.824822','-84.245984','US-GA','/GOOGLE_MAP/ZOOM:15','S85772726','OBS1124301336','4','11','2021','norcar',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',4-11-2021
1955780,'L8131782','34.8716036','-92.4799477','US-AR','/GOOGLE_MAP/ZOOM:15','S77879339','OBS1034458460','12','18','2020','pinsis',"(0, 10]",'1','0','1','1','1','1',0.001,,'PFW Web 4.1.4',12-18-2020
803827,'L169442','47.1909711','-109.2841668','US-MT','postal_code','S77876853','OBS1034435881','12','19','2020','evegro',"(10, 20]",'1','0','1','1','1','1',1.001,0.001,'PFW Web 4.1.4',12-19-2020
1403751,'L2420706','47.1251622','-68.3235455','US-ME','/GOOGLE_MAP/ZOOM:14','S80071688','OBS1061697028','1','24','2021','haiwoo',"(0, 10]",'1','0','1','1','1','1',4.001,5.0,'PFW Web 4.1.4',1-24-2021
1316238,'L2343579','33.223465','-84.2668839','US-GA','nan','S86402853','OBS1132569987','4','13','2021','dowwoo',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',4-13-2021
556571,'L8882713','42.2547218','-70.8283237','US-MA','/GOOGLE_MAP/ZOOM:14','S82707222','OBS1086862463','2','22','2021','dowwoo',"(0, 10]",'1','0','1','1','1','1',1.001,5.0,'PFW Web 4.1.4',2-22-2021
1957612,'L6492501','41.7687151','-124.2105299','US-CA','/GOOGLE_MAP/ZOOM:12','S76598903','OBS1016488963','11','21','2020','daejun',"(0, 10]",'1','0','1','1','1','1',1.001,,'PFW Web 4.1.4',11-21-2020
1180993,'L8190892','41.863968','-75.2634716','US-PA','/GOOGLE_MAP/ZOOM:16','S78608759','OBS1043562322','1','2','2021','amegfi',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',1-2-2021
569229,'L4010390','37.059587','-76.336617','US-VA','/GOOGLE_MAP/ZOOM:15','S81700210','OBS1075668383','2','14','2021','eursta',"(0, 10]",'1','0','0','1','1','1',4.001,0.0,'PFW Web 4.1.4',2-14-2021
2590198,'L12743646','41.0451858','-72.4021024','US-NY','/GOOGLE_MAP/ZOOM:15','S76609692','OBS1016631975','11','22','2020','daejun',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',11-22-2020
1274160,'L4011097','35.034771','-114.563502','US-AZ','/GOOGLE_MAP/ZOOM:15','S82229769','OBS1081301746','2','21','2021','houspa',"(10, 20]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',2-21-2021
100413,'L384985','43.4961451','-80.4976094','CA-ON','GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:0','S82559703','OBS1085154485','2','27','2021','daejun',"(0, 10]",'1','0','1','1','1','1',0.001,0.001,'PFW Web 4.1.4',2-27-2021
1446175,'L2423615','35.7687359','-78.752106','US-NC','/GOOGLE_MAP/ZOOM:15','S76462463','OBS1014604886','11','16','2020','whtspa',"(0, 10]",'1','0','1','1','1','1',1.001,,'PFW Web 4.1.4',11-16-2020
2711115,'L12939400','38.971722','-86.561555','US-IN','/GOOGLE_MAP/ZOOM:15','S83257099','OBS1093254497','3','4','2021','winwre3',"(0, 10]",'0','0','1','1','1','1',4.001,0.0,'PFW Web 4.1.4',3-4-2021
1141607,'L844682','39.2385635','-94.6084518','US-MO','ESRI_WEBSERVICE_STREET','S83913106','OBS1101029424','3','7','2021','haiwoo',"(0, 10]",'1','0','1','0','1','1',1.001,0.0,'PFW Web 4.1.4',3-7-2021
1366464,'L1821050','40.3659124','-74.9722213','US-PA','nan','S80648470','OBS1068482006','1','19','2021','houfin',"(0, 10]",'1','0','1','1','1','1',1.001,0.001,'PFW Web 4.1.4',1-19-2021
152485,'L10251105','53.4510061','-113.4975202','CA-AB','/GOOGLE_MAP/ZOOM:15','S77855544','OBS1034077242','12','19','2020','houfin',"(0, 10]",'1','0','1','1','1','1',0.001,5.0,'PFW Web 4.1.4',12-19-2020
2045038,'L8140812','43.347489','-70.554091','US-ME','/GOOGLE_MAP/ZOOM:15','S84851076','OBS1112659687','4','2','2021','wiltur',"(0, 10]",'1','0','1','1','1','1',1.001,0.0,'PFW Web 4.1.4',4-2-2021
